i	JJ	O
charge	NN	O
it	PRP	O
at	IN	O
night	NN	O
and	CC	O
skip	NN	O
taking	VBG	O
the	DT	O
cord	NN	B
with	IN	O
me	PRP	O
because	IN	O
of	IN	O
the	DT	O
good	JJ	O
battery	NN	B
life	NN	I
.	.	O

i	NN	O
bought	VBD	O
a	DT	O
hp	JJ	O
pavilion	NN	O
dv4	VBZ	O
1222nr	CD	O
laptop	NN	O
and	CC	O
have	VBP	O
had	VBN	O
so	RB	O
many	JJ	O
problems	NNS	O
with	IN	O
the	DT	O
computer	NN	O
.	.	O

the	DT	O
tech	NN	B
guy	NN	I
then	RB	O
said	VBD	O
the	DT	O
service	NN	B
center	NN	I
does	VBZ	O
not	RB	O
do	VB	O
1	CD	O
to	TO	O
1	CD	O
exchange	NN	O
and	CC	O
i	NNS	O
have	VBP	O
to	TO	O
direct	VB	O
my	PRP$	O
concern	NN	O
to	TO	O
the	DT	O
"sales"	NNP	B
team	NN	I
,	,	O
which	WDT	O
is	VBZ	O
the	DT	O
retail	JJ	O
shop	NN	O
which	WDT	O
i	NN	O
bought	VBD	O
my	PRP$	O
netbook	NN	O
from	IN	O
.	.	O

i	NN	O
investigated	VBD	O
netbooks	NNS	O
and	CC	O
saw	VBD	O
the	DT	O
toshiba	NN	O
nb305	JJ	O
n410bl	NN	O
.	.	O

the	DT	O
other	JJ	O
day	NN	O
i	VB	O
had	VBD	O
a	DT	O
presentation	NN	O
to	TO	O
do	VB	O
for	IN	O
a	DT	O
seminar	NN	O
at	IN	O
a	DT	O
large	JJ	O
conference	NN	O
in	IN	O
town	NN	O
lots	NNS	O
of	IN	O
people	NNS	O
,	,	O
little	JJ	O
time	NN	O
to	TO	O
prep	VB	O
and	CC	O
have	VB	O
to	TO	O
set	VB	O
up	RP	O
a	DT	O
computer	NN	O
to	TO	O
a	DT	O
projector	NN	O
,	,	O
etc	FW	O
.	.	O

it	PRP	O
is	VBZ	O
of	IN	O
high	JJ	O
quality	NN	B
,	,	O
has	VBZ	O
a	DT	O
killer	NN	O
gui	NN	B
,	,	O
is	VBZ	O
extremely	RB	O
stable	JJ	O
,	,	O
is	VBZ	O
highly	RB	O
expandable	JJ	O
,	,	O
is	VBZ	O
bundled	VBN	O
with	IN	O
lots	NNS	O
of	IN	O
very	RB	O
good	JJ	O
applications	NNS	B
,	,	O
is	VBZ	O
easy	JJ	O
to	TO	O
use	VB	B
,	,	O
and	CC	O
is	VBZ	O
absolutely	RB	O
gorgeous	JJ	O
.	.	O

easy	JJ	O
to	TO	O
start	VB	B
up	RP	I
and	CC	O
does	VBZ	O
not	RB	O
overheat	VB	O
as	RB	O
much	JJ	O
as	IN	O
other	JJ	O
laptops	NNS	O
.	.	O

sad	JJ	O
very	RB	O
sad	JJ	O
.	.	O

i	RB	O
even	RB	O
got	VBD	O
my	PRP$	O
teenage	NN	O
son	NN	O
one	CD	O
,	,	O
because	IN	O
of	IN	O
the	DT	O
features	NNS	B
that	IN	O
it	PRP	O
offers	VBZ	O
,	,	O
like	IN	O
,	,	O
ichat	RB	B
,	,	O
photobooth	NN	B
,	,	O
garage	NN	B
band	NN	I
and	CC	O
more	JJR	O
!	.	O

needless	JJ	O
to	TO	O
say	VB	O
a	DT	O
pc	NN	O
that	WDT	O
can't	VBZ	O
support	VB	O
a	DT	O
cell	NN	O
phone	NN	O
is	VBZ	O
less	JJR	O
than	IN	O
useless	NN	O
!	.	O

great	JJ	O
laptop	NN	O
that	IN	O
offers	VBZ	O
many	JJ	O
great	JJ	O
features	NNS	B
!	.	O

they	PRP	O
have	VBP	O
done	VBN	O
absolutely	RB	O
nothing	NN	O
to	TO	O
fix	VB	O
the	DT	O
computer	NN	O
problem	NN	O
.	.	O

 one	NN	O
night	NN	O
i	NN	O
turned	VBD	O
the	DT	O
freaking	JJ	O
thing	NN	O
off	RP	O
after	IN	O
using	VBG	O
it	PRP	O
,	,	O
the	DT	O
next	JJ	O
day	NN	O
i	VBZ	O
turn	VBP	O
it	PRP	O
on	IN	O
,	,	O
no	DT	O
gui	NN	B
,	,	O
screen	NN	B
all	DT	O
dark	NN	O
,	,	O
power	NN	B
light	NN	I
steady	JJ	O
,	,	O
hard	JJ	B
drive	NN	I
light	NN	I
steady	JJ	O
and	CC	O
not	RB	O
flashing	VBG	O
as	IN	O
it	PRP	O
usually	RB	O
does	VBZ	O
.	.	O

still	RB	O
pretty	RB	O
pricey	JJ	O
,	,	O
but	CC	O
i've	RB	O
been	VBN	O
putting	VBG	O
off	RP	O
money	NN	O
for	IN	O
a	DT	O
while	NN	O
as	IN	O
a	DT	O
little	JJ	O
macbook	NN	O
fund	NN	O
,	,	O
and	CC	O
finally	RB	O
got	VBD	O
to	TO	O
use	VB	O
it	PRP	O
.	.	O

i	NN	O
took	VBD	O
it	PRP	O
back	RP	O
for	IN	O
an	DT	O
asus	NN	O
and	CC	O
same	JJ	O
thing	NN	O
blue	NN	O
screen	NN	O
which	WDT	O
required	VBD	O
me	PRP	O
to	TO	O
remove	VB	O
the	DT	O
battery	NN	B
to	TO	O
reset	VB	O
.	.	O

in	IN	O
the	DT	O
shop	NN	O
,	,	O
these	DT	O
macbooks	NNS	O
are	VBP	O
encased	VBN	O
in	IN	O
a	DT	O
soft	JJ	O
rubber	NN	B
enclosure	NN	I
so	IN	O
you	PRP	O
will	MD	O
never	RB	O
know	VB	O
about	IN	O
the	DT	O
razor	NN	O
edge	NN	B
until	IN	O
you	PRP	O
buy	VBP	O
it	PRP	O
,	,	O
get	VB	O
it	PRP	O
home	NN	O
,	,	O
break	VB	O
the	DT	O
seal	NN	O
and	CC	O
use	VB	O
it	PRP	O
(very	RB	O
clever	JJ	O
con)	NN	O
.	.	O

however	RB	O
,	,	O
the	DT	O
multi	NN	B
touch	JJ	I
gestures	NNS	I
and	CC	O
large	JJ	O
tracking	VBG	B
area	NN	I
make	VBP	O
having	VBG	O
an	DT	O
external	JJ	B
