,id,predicted aspect term,true aspect term
0,892:1,{'boot time'},{'boot time'}
1,1144:1,{'tech support'},{'tech support'}
2,805:2,{'resume'},set()
3,359:1,{'up'},{'set up'}
4,562:1,"{'functions', 'windows'}","{'touchscreen functions', 'windows 8'}"
5,323:1,set(),set()
6,958:1,"{'speakers', 'hard', 'price tag'}","{'internal speakers', 'click pads', 'price tag'}"
7,684:1,set(),set()
8,282:9,{'disk (dvd)'},{'installation disk (dvd)'}
9,819:1,{'use'},{'use'}
10,130:1,"{'works', 'os'}","{'apple os', 'works'}"
11,787:270,set(),set()
12,593:1,{'features'},{'features'}
13,996:1,"{'battery life', 'wifi connection and'}","{'wifi connection', 'battery life', 'log on'}"
14,314:21,{'delete key'},{'delete key'}
15,147:5,set(),{'interneting'}
16,3:1,set(),{'priced'}
17,132:1,set(),set()
18,293:1,set(),set()
19,663:1,set(),{'works'}
20,373:1,{'track pad'},{'track pad'}
21,787:709,set(),set()
22,759:1,{'graphics'},{'graphics'}
23,326:1,set(),{'mountain lion'}
24,488:1,"{'durability', 'build'}","{'durability', 'build'}"
25,847:1,{'battery life'},{'battery life'}
26,641:1,set(),set()
27,561:1,set(),{'works'}
28,357:1,set(),set()
29,1062:1,{'windows'},{'windows 8'}
30,792:2,set(),{'baterry'}
31,81:1,set(),set()
32,809:1,"{'weight', 'size'}","{'weight', 'size'}"
33,787:467,set(),set()
34,144:1,{'extra'},set()
35,495:1,{'performance'},{'performance'}
36,393:1,set(),set()
37,127:1,set(),set()
38,910:1,{'usb ports'},{'usb ports'}
39,1047:1,{'acer'},set()
40,470:1,set(),set()
41,499:1,"{'screen', 'speed'}","{'screen', 'speed'}"
42,457:1,set(),set()
43,636:1,{'price'},{'price'}
44,48:1,{'hardware performance'},{'hardware performance'}
45,992:1,set(),set()
46,57:1,"{'works', 'set up'}","{'works', 'set up'}"
47,29:568,set(),set()
48,387:7,"{'responds', 'keyboard'}",{'keyboard'}
49,211:0,set(),set()
50,1063:166,{'windows'},{'windows 8'}
51,787:878,set(),set()
52,116:1,set(),set()
53,479:1,{'setup'},"{'setup', 'configure'}"
54,332:4,set(),set()
55,786:1309,set(),set()
56,1107:1,{'windows'},{'windows 8'}
57,298:29,{'usb ports'},{'usb ports'}
58,250:1,set(),set()
59,787:145,set(),set()
60,1061:1,"{'screen', 'features', 'keyboard'}","{'screen', 'features', 'keyboard'}"
61,787:641,set(),set()
62,128:1,{'performance'},{'performance'}
63,734:1,set(),set()
64,1012:1,set(),set()
65,655:1,"{'performance', 'quality'}","{'performance', 'quality'}"
66,301:1,{'os'},{'os'}
67,960:1,set(),set()
68,448:3,"{'18', 'portability'}",{'portability'}
69,1158:1,set(),set()
70,787:444,{'computing'},{'portable computing'}
71,1141:1,{'windows'},{'windows 8'}
72,787:495,{'ms office 2011 for'},{'ms office 2011 for mac'}
73,29:809,set(),set()
74,106:1,{'performance'},{'performance'}
75,782:1,set(),set()
76,589:1,set(),set()
77,294:1,{'performance'},"{'performance', 'look'}"
78,553:1,"{'keys', 'screen display'}","{'lit up keys', 'screen display'}"
79,804:1,set(),set()
80,315:1,"{'microsoft windows', 'os'}","{'microsoft windows', 'mountain lion os'}"
81,17:4,{'osx'},{'osx'}
82,631:1,set(),set()
83,787:575,{'microsoft office'},{'microsoft office'}
84,764:1,set(),set()
85,452:1,set(),set()
86,412:1,{'colors'},"{'graphics', 'colors'}"
87,60:1,set(),set()
88,317:1,set(),set()
89,747:5,"{'apps', 'built in'}",{'built in apps'}
90,395:3,"{'cons', 'screen resolution'}",{'screen resolution'}
91,469:1,"{'multi touch gestures', 'speed', 'windows', 'operating system'}","{'multi touch gestures', 'speed', 'windows', 'operating system'}"
92,1028:1,{'size'},{'size'}
93,660:1,set(),set()
94,286:15,"{'applecare', '3', 'warranty'}","{'applecare', 'squaretrade 3 year computer accidental protection warranty'}"
95,1002:1,{'transport'},{'transport'}
96,1118:1,{'windows'},{'windows 8 set up'}
97,46:1,set(),set()
98,563:1,set(),set()
99,417:1,"{'size', 'display'}","{'size', 'retina display'}"
100,929:1,set(),set()
101,375:0,set(),set()
102,727:1,"{'design', 'aluminum casing'}","{'design', 'aluminum casing'}"
103,747:8,{'aluminum body'},{'aluminum body'}
104,787:773,set(),set()
105,37:1,"{'usb devices', 'devices'}","{'usb devices', 'integrate bluetooth devices'}"
106,741:1,set(),set()
107,532:1,set(),set()
108,757:1,set(),set()
109,891:8,{'chip'},{'intel4000 graphic chip'}
110,786:42,set(),set()
111,19:1,{'dvd drive firewire port'},"{'sdxc slot', 'dvd drive firewire port', 'adapter'}"
112,907:1,set(),set()
113,786:1,{'mac'},set()
114,363:27,{'durability'},{'durability'}
115,422:1,set(),{'designed'}
116,786:414,set(),set()
117,295:1,{'use'},{'use'}
118,1119:1,{'value'},{'value'}
119,29:81,{'specs'},{'specs'}
120,1045:1,{'look'},set()
121,682:1,{'marks'},set()
122,148:1,set(),set()
123,652:1,set(),set()
124,211:1,"{'customer service', 'quality'}","{'customer service', 'aesthetics', 'craftmanship', 'product quality'}"
125,888:1,set(),set()
126,1078:1,set(),set()
127,1159:1,"{'size', 'windows'}","{'size', 'windows 8'}"
128,661:1,{'one'},set()
129,1150:1,{'windows'},{'windows 8'}
130,787:272,set(),{'startup times'}
131,369:0,set(),set()
132,897:1,set(),set()
133,743:1,{'colors'},{'colors'}
134,803:1,set(),set()
135,681:1,"{'shipping', 'price'}","{'shipping', 'price'}"
136,801:1,{'mouse'},{'mouse'}
137,280:12,set(),set()
138,333:1,set(),set()
139,786:1423,{'battery'},{'battery'}
140,974:1,{'windows 7'},{'windows 7'}
141,151:1,set(),set()
142,605:1,"{'service', 'price', 'delivery'}","{'service', 'price', 'delivery'}"
143,846:1,{'customer service'},{'customer service'}
144,983:1,{'windows'},{'windows 8'}
145,912:1,{'price'},{'price'}
146,449:1,set(),set()
147,723:1,{'up'},{'set up'}
148,1122:1,set(),{'win8'}
149,893:1,set(),set()
150,856:1,{'features'},{'features'}
151,786:214,set(),set()
